"","NDI","site_no","SITE_CODE","STATION","mergeOn","lat","lon"
"244","1188",3.40808e+14,"","","3.40808E+14",33.48,-117.1
"245","1191",3.40814e+14,"","","3.40814E+14",33.48,-117.1
"246","1201",3.40824e+14,"","","3.40824E+14",33.49,-117.67
"247","1202",3.40826e+14,"","","3.40826E+14",33.49,-117.67
"248","1203",3.40828e+14,"","","3.40828E+14",33.49,-117.67
"249","1204",3.40829e+14,"","","3.40829E+14",33.49,-117.67
"250","1211",3.40851e+14,"","","3.40851E+14",33.49,-117.67
"251","1215",3.40856e+14,"","","3.40856E+14",33.49,-117.67
"252","1217",3.40858e+14,"","","3.40858E+14",33.49,-117.67
"253","1223",3.40914e+14,"","","3.40914E+14",33.49,-117.67
"254","1229",3.40927e+14,"","","3.40927E+14",33.49,-117.67
"255","1240",3.40936e+14,"","","3.40936E+14",33.49,-117.67
"256","1247",3.40945e+14,"","","3.40945E+14",33.49,-117.67
"257","1248",3.40949e+14,"","","3.40949E+14",33.49,-117.67
"258","1252",3.41013e+14,"","","3.41013E+14",33.49,-117.67
"259","1256",3.41017e+14,"","","3.41017E+14",33.49,-117.67
"260","1259",3.41031e+14,"","","3.41031E+14",33.49,-117.67
"261","1261",3.41052e+14,"","","3.41052E+14",33.49,-117.67
"262","1262",3.41059e+14,"","","3.41059E+14",33.49,-117.67
"263","1263",3.41106e+14,"","","3.41106E+14",33.49,-117.67
"264","1266",3.41209e+14,"","","3.41209E+14",33.49,-117.67
"265","1268",3.41227e+14,"","","3.41227E+14",33.49,-117.67
"266","1275",3.41249e+14,"","","3.41249E+14",33.49,-117.67
"267","1297",3.41501e+14,"","","3.41501E+14",33.49,-117.67
"268","1298",3.4152e+14,"","","3.4152E+14",33.49,-117.67
"269","1300",3.41552e+14,"","","3.41552E+14",33.49,-117.67
"270","1301",3.41556e+14,"","","3.41556E+14",33.49,-117.67
"271","1305",3.41601e+14,"","","3.41601E+14",33.49,-117.67
"272","1309",3.41622e+14,"","","3.41622E+14",33.49,-117.67
"273","1329",3.41741e+14,"","","3.41741E+14",33.49,-117.67
"274","1331",3.41751e+14,"","","3.41751E+14",33.49,-117.67
"275","1339",3.41814e+14,"","","3.41814E+14",33.49,-117.67
"276","1354",3.41907e+14,"","","3.41907E+14",33.49,-117.67
"277","1356",3.41912e+14,"","","3.41912E+14",33.49,-117.67
"278","1357",3.41918e+14,"","","3.41918E+14",33.49,-117.67
"279","1360",3.41932e+14,"","","3.41932E+14",33.49,-117.67
"280","1363",3.42037e+14,"","","3.42037E+14",33.49,-117.67
"281","1366",3.42111e+14,"","","3.42111E+14",33.49,-117.67
"282","1367",3.42117e+14,"","","3.42117E+14",33.49,-117.67
"283","1368",3.42129e+14,"","","3.42129E+14",33.49,-117.67
"284","1373",3.42229e+14,"","","3.42229E+14",33.49,-117.67
"285","1381",3.42306e+14,"","","3.42306E+14",33.49,-117.67
"286","1387",3.42341e+14,"","","3.42341E+14",33.49,-117.67
"287","1388",3.42349e+14,"","","3.42349E+14",33.49,-117.67
"288","1406",3.42434e+14,"","","3.42434E+14",33.49,-117.67
"289","1412",3.42441e+14,"","","3.42441E+14",33.49,-117.67
"290","1417",3.42448e+14,"","","3.42448E+14",33.49,-117.67
"291","1423",3.42452e+14,"","","3.42452E+14",33.49,-117.67
"292","1446",3.42503e+14,"","","3.42503E+14",33.49,-117.67
"293","1449",3.42506e+14,"","","3.42506E+14",33.49,-117.67
"294","1466",3.42517e+14,"","","3.42517E+14",33.49,-117.67
"295","1470",3.42519e+14,"","","3.42519E+14",33.49,-117.67
"296","1476",3.42526e+14,"","","3.42526E+14",33.49,-117.67
"297","1477",3.42529e+14,"","","3.42529E+14",33.49,-117.67
"298","1478",3.4253e+14,"","","3.4253E+14",33.49,-117.67
"299","1488",3.42539e+14,"","","3.42539E+14",33.49,-117.67
"300","1495",3.42546e+14,"","","3.42546E+14",33.49,-117.67
"301","1501",3.42549e+14,"","","3.42549E+14",33.49,-117.67
"302","1506",3.42552e+14,"","","3.42552E+14",33.49,-117.67
"303","1520",3.426e+14,"","","3.426E+14",33.49,-117.67
"304","1522",3.42601e+14,"","","3.42601E+14",33.49,-117.67
"305","1526",3.42605e+14,"","","3.42605E+14",33.49,-117.67
"306","1535",3.42608e+14,"","","3.42608E+14",33.49,-117.67
"307","1536",3.42609e+14,"","","3.42609E+14",33.49,-117.06
"308","1539",3.4261e+14,"","","3.4261E+14",33.49,-117.06
"309","1542",3.42611e+14,"","","3.42611E+14",33.49,-116.68
"310","1546",3.42612e+14,"","","3.42612E+14",33.5,-117.67
"311","1548",3.42613e+14,"","","3.42613E+14",33.5,-117.67
"312","1549",3.42616e+14,"","","3.42616E+14",33.5,-117.67
"313","1551",3.42618e+14,"","","3.42618E+14",33.5,-117.67
"314","1556",3.4262e+14,"","","3.4262E+14",33.5,-117.67
"315","1560",3.42623e+14,"","","3.42623E+14",33.5,-117.67
"316","1566",3.4263e+14,"","","3.4263E+14",33.5,-117.67
"317","1568",3.42631e+14,"","","3.42631E+14",33.5,-117.67
"318","1579",3.42639e+14,"","","3.42639E+14",33.5,-117.67
"319","1582",3.42643e+14,"","","3.42643E+14",33.5,-117.67
"320","1583",3.42645e+14,"","","3.42645E+14",33.5,-117.67
"321","1585",3.42646e+14,"","","3.42646E+14",33.5,-117.67
"322","1587",3.42647e+14,"","","3.42647E+14",33.5,-117.67
"323","1589",3.42658e+14,"","","3.42658E+14",33.5,-117.67
"324","1614",3.42705e+14,"","","3.42705E+14",33.5,-117.65
"325","1618",3.42706e+14,"","","3.42706E+14",33.5,-117.65
"326","1619",3.42707e+14,"","","3.42707E+14",33.5,-117.65
"327","1621",3.42708e+14,"","","3.42708E+14",33.5,-117.65
"328","1628",3.42732e+14,"","","3.42732E+14",33.5,-117.65
"329","1644",3.42744e+14,"","","3.42744E+14",33.5,-117.65
"330","1647",3.42754e+14,"","","3.42754E+14",33.5,-117.65
"331","1648",3.42758e+14,"","","3.42758E+14",33.5,-117.65
"332","1654",3.42814e+14,"","","3.42814E+14",33.5,-117.65
"333","1668",3.42824e+14,"","","3.42824E+14",33.5,-117.65
"334","1671",3.42838e+14,"","","3.42838E+14",33.5,-117.65
"335","1673",3.4284e+14,"","","3.4284E+14",33.5,-117.65
"336","1675",3.42847e+14,"","","3.42847E+14",33.5,-117.65
"337","1686",3.42906e+14,"","","3.42906E+14",33.5,-117.65
"338","1695",3.42934e+14,"","","3.42934E+14",33.5,-117.65
"339","1697",3.42938e+14,"","","3.42938E+14",33.5,-117.65
"340","1702",3.4295e+14,"","","3.4295E+14",33.5,-117.65
"341","1709",3.43e+14,"","","3.43E+14",33.5,-117.65
"342","1714",3.43004e+14,"","","3.43004E+14",33.5,-117.65
"343","1717",3.43008e+14,"","","3.43008E+14",33.5,-117.65
"344","1718",3.43015e+14,"","","3.43015E+14",33.5,-117.65
"345","1720",3.4303e+14,"","","3.4303E+14",33.5,-117.65
"346","1727",3.43101e+14,"","","3.43101E+14",33.5,-117.65
"347","1739",3.4315e+14,"","","3.4315E+14",33.5,-117.65
"348","1745",3.432e+14,"","","3.432E+14",33.5,-117.65
"349","1746",3.43205e+14,"","","3.43205E+14",33.5,-117.65
"350","1747",3.43218e+14,"","","3.43218E+14",33.5,-117.65
"351","1748",3.4322e+14,"","","3.4322E+14",33.5,-117.65
"352","1749",3.43236e+14,"","","3.43236E+14",33.5,-117.65
"353","1751",3.43237e+14,"","","3.43237E+14",33.5,-117.65
"354","1753",3.43242e+14,"","","3.43242E+14",33.5,-117.65
"355","1757",3.43307e+14,"","","3.43307E+14",33.5,-117.65
"356","1761",3.43328e+14,"","","3.43328E+14",33.5,-117.65
"357","1762",3.4333e+14,"","","3.4333E+14",33.5,-117.65
"358","1769",3.43353e+14,"","","3.43353E+14",33.5,-117.65
"359","1770",3.43404e+14,"","","3.43404E+14",33.5,-117.65
"360","1774",3.43419e+14,"","","3.43419E+14",33.5,-117.65
"361","1775",3.4342e+14,"","","3.4342E+14",33.5,-117.65
"362","1776",3.43422e+14,"","","3.43422E+14",33.5,-117.65
"363","1781",3.43426e+14,"","","3.43426E+14",33.5,-117.65
"364","1784",3.43434e+14,"","","3.43434E+14",33.5,-117.65
"365","1787",3.43441e+14,"","","3.43441E+14",33.5,-117.65
"366","1792",3.43445e+14,"","","3.43445E+14",33.5,-117.65
"367","1793",3.43448e+14,"","","3.43448E+14",33.5,-117.65
"368","1794",3.4345e+14,"","","3.4345E+14",33.5,-117.65
"369","1795",3.43458e+14,"","","3.43458E+14",33.5,-117.65
"370","1802",3.43513e+14,"","","3.43513E+14",33.5,-117.65
"371","1804",3.43515e+14,"","","3.43515E+14",33.5,-117.65
"372","1810",3.43534e+14,"","","3.43534E+14",33.5,-117.65
"373","1813",3.43544e+14,"","","3.43544E+14",33.5,-117.65
"374","1814",3.43546e+14,"","","3.43546E+14",33.5,-117.65
"375","1821",3.43554e+14,"","","3.43554E+14",33.5,-117.65
"376","1822",3.43555e+14,"","","3.43555E+14",33.5,-117.65
"377","1824",3.43557e+14,"","","3.43557E+14",33.5,-117.65
"378","1826",3.43602e+14,"","","3.43602E+14",33.5,-117.65
"379","1827",3.43603e+14,"","","3.43603E+14",33.5,-117.65
"380","1832",3.43606e+14,"","","3.43606E+14",33.5,-117.65
"381","1836",3.43609e+14,"","","3.43609E+14",33.5,-117.65
"382","1839",3.43613e+14,"","","3.43613E+14",33.5,-117.65
"383","1842",3.43619e+14,"","","3.43619E+14",33.5,-117.65
"384","1843",3.43621e+14,"","","3.43621E+14",33.5,-117.65
"385","1846",3.43623e+14,"","","3.43623E+14",33.5,-117.65
"386","1850",3.43632e+14,"","","3.43632E+14",33.5,-117.65
"387","1851",3.4364e+14,"","","3.4364E+14",33.5,-117.65
"388","1854",3.43647e+14,"","","3.43647E+14",33.5,-117.65
"389","1857",3.4365e+14,"","","3.4365E+14",33.5,-117.65
"390","1858",3.43651e+14,"","","3.43651E+14",33.5,-117.65
"391","1860",3.43653e+14,"","","3.43653E+14",33.5,-117.65
"392","1862",3.43656e+14,"","","3.43656E+14",33.5,-117.65
"393","1863",3.43703e+14,"","","3.43703E+14",33.5,-117.65
"394","1865",3.43705e+14,"","","3.43705E+14",33.5,-117.65
"395","1867",3.43712e+14,"","","3.43712E+14",33.5,-117.65
"396","1868",3.43718e+14,"","","3.43718E+14",33.5,-117.65
"397","1869",3.43719e+14,"","","3.43719E+14",33.5,-117.65
"398","1870",3.43722e+14,"","","3.43722E+14",33.5,-117.65
"399","1874",3.43726e+14,"","","3.43726E+14",33.5,-117.65
"400","1877",3.43727e+14,"","","3.43727E+14",33.5,-117.65
"401","1879",3.4373e+14,"","","3.4373E+14",33.5,-117.65
"402","1882",3.43735e+14,"","","3.43735E+14",33.5,-117.65
"403","1885",3.43746e+14,"","","3.43746E+14",33.5,-117.65
"404","1888",3.43754e+14,"","","3.43754E+14",33.5,-117.65
"405","1891",3.43755e+14,"","","3.43755E+14",33.5,-117.65
"406","1895",3.43809e+14,"","","3.43809E+14",33.5,-117.65
"407","1896",3.43812e+14,"","","3.43812E+14",33.5,-117.65
"408","1897",3.43813e+14,"","","3.43813E+14",33.5,-117.65
"409","1899",3.43815e+14,"","","3.43815E+14",33.5,-117.65
"410","1900",3.4382e+14,"","","3.4382E+14",33.5,-117.65
"411","1901",3.43821e+14,"","","3.43821E+14",33.5,-117.65
"412","1902",3.43822e+14,"","","3.43822E+14",33.5,-117.65
"413","1904",3.43824e+14,"","","3.43824E+14",33.5,-117.65
"414","1905",3.43828e+14,"","","3.43828E+14",33.5,-117.65
"415","1906",3.4383e+14,"","","3.4383E+14",33.5,-117.65
