STATION,SITE_CODE,STNAME,WELL_NAME,LATITUDE,LONGITUDE,LLDATUM,POSACC,ELEV,ELEVDATUM,ELEVACC,COUNTY_NAME,BASIN_CODE,BASIN_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO,WDL,COMMENT
22N02W01N002M,397836N1220461W002,GLE_01N002M screen interval 698 to 708 bgs             ,Screen: 698-708 ft  ,39.78357825,-122.0461909,NAD83     ,,159.21,,,Glenn,5-021.51,Corning,730.0,Observation,Part of a nested/multi-completion well,E038764,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N02W01N002M,None
22N02W01N003M,397836N1220461W003,GLE_01N003M screen interval 209 to 367 bgs             ,Screen: 209-367 ft  ,39.78357825,-122.0461909,NAD83     ,,159.0,,,Glenn,5-021.51,Corning,440.0,Observation,Part of a nested/multi-completion well,E038764,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N02W01N003M,None
22N02W01N004M,397836N1220461W004,GLE_01N004M screen interval 70 to 80 bgs               ,Screen: 70-80 ft    ,39.78357825,-122.0461909,NAD83     ,,159.21,,,Glenn,5-021.51,Corning,108.0,Observation,Part of a nested/multi-completion well,E038764,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N02W01N004M,None
22N02W02J001M,397875N1220494W001,GLE_02J001M screen interval 800 to 1300 bgs            ,Screen: 800-1300 ft ,39.78735267,-122.0493971,NAD83     ,,164.7,,,Glenn,5-021.51,Corning,1350.0,Irrigation,Single Well,816288,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N02W02J001M,None
22N02W15C002M,397634N1220771W001,GLE_15C002M screen interval 759 to 780 bgs             ,Screen: 759-780 ft  ,39.76351217,-122.0772773,NAD83     ,,189.3,,,Glenn,5-021.51,Corning,825.0,Observation,Part of a nested/multi-completion well,726790,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N02W15C002M,None
22N02W15C003M,397634N1220771W002,GLE_15C003M screen interval 370 to 380 bgs             ,Screen: 370-380 ft  ,39.76351217,-122.0772773,NAD83     ,,189.3,,,Glenn,5-021.51,Corning,422.0,Observation,Part of a nested/multi-completion well,726789,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N02W15C003M,None
22N02W15C004M,397634N1220771W003,GLE_15C004M screen interval 210 to 220 bgs             ,Screen: 210-220 ft  ,39.76351217,-122.0772773,NAD83     ,,189.3,,,Glenn,5-021.51,Corning,258.0,Observation,Part of a nested/multi-completion well,726789,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N02W15C004M,None
22N02W15C005M,397634N1220771W004,GLE_15C005M screen interval 60 to 70 bgs               ,Screen: 60-70 ft    ,39.76351217,-122.0772773,NAD83     ,,189.3,,,Glenn,5-021.51,Corning,100.0,Observation,Part of a nested/multi-completion well,726789,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N02W15C005M,None
22N02W18C001M,397682N1221364W001,GLE_18C001M screen interval 989 to 1029 bgs            ,Screen: 989-1029 ft ,39.76820217,-122.1364444,NAD83     ,,223.44,,,Glenn,5-021.51,Corning,1062.0,Observation,Part of a nested/multi-completion well,E044014,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N02W18C001M,None
22N02W18C002M,397682N1221364W002,GLE_18C002M screen interval 414 to 434 bgs             ,Screen: 414-434 ft  ,39.76820217,-122.1364444,NAD83     ,,223.44,,,Glenn,5-021.51,Corning,482.0,Observation,Part of a nested/multi-completion well,E044014,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N02W18C002M,None
22N02W18C003M,397682N1221364W003,GLE_18C003M screen interval 165 to 175 bgs             ,Screen: 165-175 ft  ,39.76820217,-122.1364444,NAD83     ,,223.44,,,Glenn,5-021.51,Corning,188.0,Observation,Part of a nested/multi-completion well,E044014,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N02W18C003M,None
22N02W18C004M,397682N1221364W004,GLE_18C004M screen interval 55 to 65 bgs               ,Screen: 55-65 ft    ,39.76820217,-122.1364444,NAD83     ,,223.44,,,Glenn,5-021.51,Corning,90.0,Observation,Part of a nested/multi-completion well,E044014,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N02W18C004M,None
22N02W30H002M,397325N1221233W001,GLE_30H002M screen interval 850 to 880 bgs             ,Screen: 850-880 ft  ,39.73251233,-122.1230616,NAD83     ,,204.43,,,Glenn,5-021.52,Colusa,930.0,Observation,Part of a nested/multi-completion well,726922,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N02W30H002M,None
22N02W30H003M,397325N1221233W002,GLE_30H003M screen interval 130 to 260 bgs             ,Screen: 130-260 ft  ,39.73251233,-122.1230616,NAD83     ,,204.43,,,Glenn,5-021.52,Colusa,291.0,Observation,Part of a nested/multi-completion well,726922,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N02W30H003M,None
22N02W30H004M,397325N1221233W003,GLE_30H004M screen interval 45 to 70 bgs               ,Screen: 45-70 ft    ,39.73251233,-122.1230616,NAD83     ,,204.32,,,Glenn,5-021.52,Colusa,88.0,Observation,Part of a nested/multi-completion well,726922,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N02W30H004M,None
22N02W30R001M,397253N1221281W001,GLE_30R001M Screen Interval 710 to 916 bgs             ,Screen: 710-916 ft  ,39.725265,-122.128025,WGS84     ,02      ,207.43,,03      ,Glenn,5-021.52,Colusa,1060.0,Irrigation,Single Well,E0099028,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N02W30R001M,None
22N03W01R001M,397866N1221455W001,GLE_01R001M screen interval 470 to 480 bgs             ,Screen: 470-480 ft  ,39.78663117,-122.1454518,NAD83     ,,226.04,,,Glenn,5-021.51,Corning,515.0,Observation,Part of a nested/multi-completion well,726839,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N03W01R001M,None
22N03W01R002M,397866N1221455W002,GLE_01R002M screen interval 270 to 280 bgs             ,Screen: 270-280 ft  ,39.78664017,-122.1454517,NAD83     ,,226.04,,,Glenn,5-021.51,Corning,314.0,Observation,Part of a nested/multi-completion well,726839,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N03W01R002M,None
22N03W01R003M,397866N1221455W003,GLE_01R003M screen interval 60 to 70 bgs               ,Screen: 60-70 ft    ,39.78664917,-122.1454516,NAD83     ,,226.04,,,Glenn,5-021.51,Corning,103.0,Observation,Part of a nested/multi-completion well,726839,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N03W01R003M,None
22N03W24E001M,397473N1221559W001,GLE_24E001M screen interval 800 to 820 bgs             ,Screen: 800-820 ft  ,39.74716336,-122.1559776,NAD83     ,,230.51,,,Glenn,5-021.52,Colusa,850.0,Observation,Part of a nested/multi-completion well,726923,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N03W24E001M,None
22N03W24E002M,397473N1221559W002,GLE_24E002M screen interval 128 to 178 bgs             ,Screen: 128-178 ft  ,39.74716336,-122.1559776,NAD83     ,,230.51,,,Glenn,5-021.52,Colusa,225.0,Observation,Part of a nested/multi-completion well,726923,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N03W24E002M,None
22N03W24E003M,397473N1221559W003,GLE_24E003M screen interval 49 to 59 bgs               ,Screen: 49-59 ft    ,39.74716336,-122.1559776,NAD83     ,,230.51,,,Glenn,5-021.52,Colusa,81.0,Observation,Part of a nested/multi-completion well,726923,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N03W24E003M,None
22N03W28P001M,397279N1222071W001,GLE_28P001M screen interval 390 to 400 bgs             ,Screen: 390-400 ft  ,39.72792728,-122.2071462,NAD83     ,,258.22,,,Glenn,5-021.52,Colusa,430.0,Observation,Part of a nested/multi-completion well,801439,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N03W28P001M,None
22N03W28P002M,397279N1222071W002,GLE_28P002M screen interval 270 to 290 bgs             ,Screen: 270-290 ft  ,39.72792728,-122.2071462,NAD83     ,,258.22,,,Glenn,5-021.52,Colusa,304.0,Observation,Part of a nested/multi-completion well,801439,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N03W28P002M,None
22N03W28P003M,397279N1222071W003,GLE_28P003M screen interval 30 to 50 bgs               ,Screen: 30-50 ft    ,39.72792728,-122.2071462,NAD83     ,,258.22,,,Glenn,5-021.52,Colusa,69.0,Observation,Part of a nested/multi-completion well,801439,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N03W28P003M,None
22N03W28P004M,397275N1222072W001,GLE_28P004M screen interval 32 to 52 bgs               ,Screen: 32-52 ft    ,39.72753989,-122.2071506,NAD83     ,,257.31,,,Glenn,5-021.52,Colusa,80.0,,Unknown,801405,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N03W28P004M,None
23N01W10M001M,398619N1219746W001,BUT_10M001M screen interval 90 to 200 bgs              ,Screen: 90-200 ft   ,39.86019906,-121.9734884,NAD83     ,,187.38,,,Butte,5-021.57,Vina,220.0,Observation,Single Well,782040,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=23N01W10M001M,None
